Selected Gene,Selected Gene name,Selected TSS,Overlapping Gene,Overlapping Gene name,Overlapping TSS
ENSG00000100104,SRRD,26483877,ENSG00000100099,HPS4,26483783
ENSG00000100028,SNRPD3,24555999,ENSG00000138867,GUCD1,24555138
ENSG00000133422,MORC2,30968774,ENSG00000253352,TUG1,30969265
ENSG00000184164,CRELD2,49918634,ENSG00000182858,ALG12,49918438
ENSG00000100410,PHF5A,41468692,ENSG00000100412,ACO2,41469117
ENSG00000100418,DESI1,41621043,ENSG00000196419,XRCC6,41621295
ENSG00000196419,XRCC6,41621295,ENSG00000100418,DESI1,41621043
ENSG00000100209,HSCB,28742039,ENSG00000183765,CHEK2,28741820
ENSG00000093010,COMT,19941772,ENSG00000184470,TXNRD2,19941818
ENSG00000100084,HIRA,19431733,ENSG00000185608,MRPL40,19432545
ENSG00000070010,UFD1,19479193,ENSG00000093009,CDC45,19479920
ENSG00000093009,CDC45,19479920,ENSG00000070010,UFD1,19479193
ENSG00000184470,TXNRD2,19941818,ENSG00000093010,COMT,19941772
ENSG00000138867,GUCD1,24555138,ENSG00000100028,SNRPD3,24555999
ENSG00000128309,MPST,37019742,ENSG00000128311,TST,37019447
ENSG00000128346,C22orf23,37953601,ENSG00000100142,POLR2F,37953699
ENSG00000100142,POLR2F,37953699,ENSG00000128346,C22orf23,37953601
ENSG00000100263,RHBDD3,29267981,ENSG00000182944,EWSR1,29268268
ENSG00000100319,ZMAT5,29767007,ENSG00000184076,UQCR10,29767369
ENSG00000184076,UQCR10,29767369,ENSG00000100319,ZMAT5,29767007
ENSG00000099995,SF3A1,30356894,ENSG00000187860,CCDC157,30357007
ENSG00000100412,ACO2,41469117,ENSG00000100410,PHF5A,41468692
ENSG00000185608,MRPL40,19432545,ENSG00000100084,HIRA,19431733
ENSG00000099940,SNAP29,20859007,ENSG00000241973,PI4KA,20858811
ENSG00000100258,LMF2,50507702,ENSG00000025770,NCAPH2,50508224
ENSG00000025770,NCAPH2,50508224,ENSG00000100258,LMF2,50507702
ENSG00000184949,FAM227A,38656392,ENSG00000100211,CBY1,38656638
ENSG00000187860,CCDC157,30357007,ENSG00000099995,SF3A1,30356894
ENSG00000100211,CBY1,38656638,ENSG00000184949,FAM227A,38656392
ENSG00000241973,PI4KA,20858811,ENSG00000099940,SNAP29,20859007
ENSG00000253352,TUG1,30969265,ENSG00000133422,MORC2,30968774
ENSG00000100099,HPS4,26483783,ENSG00000100104,SRRD,26483877
ENSG00000128311,TST,37019447,ENSG00000128309,MPST,37019742
ENSG00000182944,EWSR1,29268268,ENSG00000100263,RHBDD3,29267981
ENSG00000077935,SMC1B,45413599,ENSG00000128408,RIBC2,45413693
ENSG00000128408,RIBC2,45413693,ENSG00000077935,SMC1B,45413599
ENSG00000183765,CHEK2,28741820,ENSG00000100209,HSCB,28742039
ENSG00000087301,TXNDC16,52552505,ENSG00000180998,GPR137C,52552836
ENSG00000180998,GPR137C,52552836,ENSG00000087301,TXNDC16,52552505
ENSG00000126790,L3HYPDH,59484408,ENSG00000050130,JKAMP,59484517
ENSG00000050130,JKAMP,59484517,ENSG00000126790,L3HYPDH,59484408
ENSG00000180008,SOCS4,55027236,ENSG00000198554,WDHD1,55027099
ENSG00000165898,ISCA2,74493765,ENSG00000119655,NPC2,74493305
ENSG00000198718,TOGARAM1,44962190,ENSG00000179454,KLHL28,44961947
ENSG00000053770,AP5M1,57268971,ENSG00000070367,EXOC5,57268905
ENSG00000070367,EXOC5,57268905,ENSG00000053770,AP5M1,57268971
ENSG00000196663,TECPR2,102362941,ENSG00000100865,CINP,102362890
ENSG00000066739,ATG2B,96363341,ENSG00000100744,GSKIP,96363526
ENSG00000090061,CCNK,99481409,ENSG00000183576,SETD3,99480859
ENSG00000183576,SETD3,99480859,ENSG00000090061,CCNK,99481409
ENSG00000100865,CINP,102362890,ENSG00000196663,TECPR2,102362941
ENSG00000100744,GSKIP,96363526,ENSG00000066739,ATG2B,96363341
ENSG00000179933,C14orf119,23095505,ENSG00000100813,ACIN1,23095136
ENSG00000165943,MOAP1,93184897,ENSG00000153485,LYSET,93185317
ENSG00000153485,LYSET,93185317,ENSG00000165943,MOAP1,93184897
ENSG00000170270,GON7,93207065,ENSG00000012963,UBR7,93207256
ENSG00000012963,UBR7,93207256,ENSG00000170270,GON7,93207065
ENSG00000100601,ALKBH1,77708023,ENSG00000119705,SLIRP,77708103
ENSG00000119705,SLIRP,77708103,ENSG00000100601,ALKBH1,77708023
ENSG00000198554,WDHD1,55027099,ENSG00000180008,SOCS4,55027236
ENSG00000119655,NPC2,74493305,ENSG00000165898,ISCA2,74493765
ENSG00000179454,KLHL28,44961947,ENSG00000198718,TOGARAM1,44962190
ENSG00000092094,OSGEP,20454812,ENSG00000100823,APEX1,20455226
ENSG00000100823,APEX1,20455226,ENSG00000092094,OSGEP,20454812
ENSG00000126215,XRCC3,103715451,ENSG00000100711,ZFYVE21,103715810
ENSG00000129535,NRL,24114949,ENSG00000100897,DCAF11,24114777
ENSG00000100897,DCAF11,24114777,ENSG00000129535,NRL,24114949
ENSG00000100911,PSME2,24146610,ENSG00000092098,RNF31,24147498
ENSG00000100938,GMPR2,24232929,ENSG00000129559,NEDD8,24232367
ENSG00000129559,NEDD8,24232367,ENSG00000100938,GMPR2,24232929
ENSG00000157379,DHRS1,24299780,ENSG00000196943,NOP9,24299850
ENSG00000196943,NOP9,24299850,ENSG00000157379,DHRS1,24299780
ENSG00000129472,RAB2B,21476959,ENSG00000092203,TOX4,21477195
ENSG00000100575,TIMM9,58427531,ENSG00000100578,KIAA0586,58427719
ENSG00000100578,KIAA0586,58427719,ENSG00000100575,TIMM9,58427531
ENSG00000100711,ZFYVE21,103715810,ENSG00000126215,XRCC3,103715451
ENSG00000134001,EIF2S1,67360328,ENSG00000100554,ATP6V1D,67359804
ENSG00000119685,TTLL5,75661246,ENSG00000133935,ERG28,75660876
ENSG00000133935,ERG28,75660876,ENSG00000119685,TTLL5,75661246
ENSG00000100554,ATP6V1D,67359804,ENSG00000134001,EIF2S1,67360328
ENSG00000139899,CBLN3,24429668,ENSG00000100441,KHNYN,24429954
ENSG00000100441,KHNYN,24429954,ENSG00000139899,CBLN3,24429668
ENSG00000183648,NDUFB1,92121706,ENSG00000165934,CPSF2,92121969
ENSG00000165934,CPSF2,92121969,ENSG00000183648,NDUFB1,92121706
ENSG00000092203,TOX4,21477195,ENSG00000129472,RAB2B,21476959
ENSG00000087299,L2HGDH,50312229,ENSG00000125375,DMAC2L,50312324
ENSG00000119682,AREL1,74713080,ENSG00000119616,FCF1,74713144
ENSG00000119616,FCF1,74713144,ENSG00000119682,AREL1,74713080
ENSG00000100813,ACIN1,23095136,ENSG00000179933,C14orf119,23095505
ENSG00000100577,GSTZ1,77321036,ENSG00000009830,POMT2,77320883
ENSG00000100580,TMED8,77377094,ENSG00000100583,SAMD15,77377379
ENSG00000009830,POMT2,77320883,ENSG00000100577,GSTZ1,77321036
ENSG00000196792,STRN3,31026379,ENSG00000100478,AP4S1,31025649
ENSG00000100478,AP4S1,31025649,ENSG00000196792,STRN3,31026379
ENSG00000126804,ZBTB1,64504770,ENSG00000089775,ZBTB25,64503838
ENSG00000165948,IFI27L1,94081310,ENSG00000089737,DDX24,94081202
ENSG00000256053,COA8,103562960,ENSG00000166170,BAG5,103562657
ENSG00000125375,DMAC2L,50312324,ENSG00000087299,L2HGDH,50312229
ENSG00000156050,FAM161B,73950094,ENSG00000119723,COQ6,73950302
ENSG00000119723,COQ6,73950302,ENSG00000156050,FAM161B,73950094
ENSG00000187097,ENTPD5,74019288,ENSG00000119636,BBOF1,74019349
ENSG00000119636,BBOF1,74019349,ENSG00000187097,ENTPD5,74019288
ENSG00000119711,ALDH6A1,74084453,ENSG00000205659,LIN52,74084956
ENSG00000205659,LIN52,74084956,ENSG00000119711,ALDH6A1,74084453
ENSG00000092020,PPP2R3C,35121990,ENSG00000100890,PRORP,35122552
ENSG00000100890,PRORP,35122552,ENSG00000092020,PPP2R3C,35121990
ENSG00000151445,VIPAS39,77457601,ENSG00000100591,AHSA1,77458093
ENSG00000100591,AHSA1,77458093,ENSG00000151445,VIPAS39,77457601
ENSG00000100632,ERH,69398299,ENSG00000029364,SLC39A9,69398692
ENSG00000029364,SLC39A9,69398692,ENSG00000100632,ERH,69398299
ENSG00000100583,SAMD15,77377379,ENSG00000100580,TMED8,77377094
ENSG00000166170,BAG5,103562657,ENSG00000256053,COA8,103562960
ENSG00000129514,FOXA1,37595249,ENSG00000139865,TTC6,37595629
ENSG00000139865,TTC6,37595629,ENSG00000129514,FOXA1,37595249
ENSG00000089775,ZBTB25,64503838,ENSG00000126804,ZBTB1,64504770
ENSG00000092098,RNF31,24147498,ENSG00000100911,PSME2,24146610
ENSG00000165502,RPL36AL,49620626,ENSG00000168282,MGAT2,49620799
ENSG00000168282,MGAT2,49620799,ENSG00000165502,RPL36AL,49620626
ENSG00000126814,TRMT5,60981079,ENSG00000139974,SLC38A6,60981245
ENSG00000139974,SLC38A6,60981245,ENSG00000126814,TRMT5,60981079
ENSG00000089737,DDX24,94081202,ENSG00000165948,IFI27L1,94081310
ENSG00000131171,SH3BGRL,81202102,ENSG00000198157,HMGN5,81201913
ENSG00000101844,ATG4A,108091778,ENSG00000101843,PSMD10,108091542
ENSG00000101843,PSMD10,108091542,ENSG00000101844,ATG4A,108091778
ENSG00000182712,CMC4,155071136,ENSG00000185515,BRCC3,155071508
ENSG00000185515,BRCC3,155071508,ENSG00000214827,MTCP1,155071136
ENSG00000185515,BRCC3,155071508,ENSG00000182712,CMC4,155071136
ENSG00000214827,MTCP1,155071136,ENSG00000185515,BRCC3,155071508
ENSG00000198157,HMGN5,81201913,ENSG00000131171,SH3BGRL,81202102
ENSG00000186310,NAP1L3,93673578,ENSG00000179083,FAM133A,93674206
ENSG00000185973,TMLHE,155612952,ENSG00000168939,SPRY3,155612586
ENSG00000147180,ZNF711,85243991,ENSG00000184788,SATL1,85243779
ENSG00000130021,PUDP,7148153,ENSG00000101846,STS,7147712
ENSG00000158423,RIBC1,53422873,ENSG00000072501,SMC1A,53422654
ENSG00000185825,BCAP31,153724387,ENSG00000101986,ABCD1,153724856
ENSG00000101986,ABCD1,153724856,ENSG00000185825,BCAP31,153724387
ENSG00000180879,SSR4,153794668,ENSG00000067829,IDH3G,153794375
ENSG00000172534,HCFC1,153971818,ENSG00000177854,TMEM187,153972754
ENSG00000177854,TMEM187,153972754,ENSG00000172534,HCFC1,153971818
ENSG00000126945,HNRNPH2,101408222,ENSG00000102393,GLA,101407925
ENSG00000184788,SATL1,85243779,ENSG00000147180,ZNF711,85243991
ENSG00000072501,SMC1A,53422654,ENSG00000158423,RIBC1,53422873
ENSG00000125352,RNF113A,119871733,ENSG00000125356,NDUFA1,119871832
ENSG00000125356,NDUFA1,119871832,ENSG00000125352,RNF113A,119871733
ENSG00000046651,OFD1,13734748,ENSG00000196459,TRAPPC2,13734620
ENSG00000186376,ZNF75D,135344109,ENSG00000173275,ZNF449,135344796
ENSG00000173275,ZNF449,135344796,ENSG00000186376,ZNF75D,135344109
ENSG00000184831,APOO,23907938,ENSG00000165182,CXorf58,23908006
ENSG00000165182,CXorf58,23908006,ENSG00000184831,APOO,23907938
ENSG00000196459,TRAPPC2,13734620,ENSG00000046651,OFD1,13734748
ENSG00000269586,CT45A10,135893444,ENSG00000181433,SAGE1,135893716
ENSG00000179083,FAM133A,93674206,ENSG00000186310,NAP1L3,93673578
ENSG00000198930,CSAG1,152733721,ENSG00000213401,MAGEA12,152733757
ENSG00000213401,MAGEA12,152733757,ENSG00000198930,CSAG1,152733721
ENSG00000147400,CETN2,152830757,ENSG00000147383,NSDHL,152831063
ENSG00000147383,NSDHL,152831063,ENSG00000147400,CETN2,152830757
ENSG00000067829,IDH3G,153794375,ENSG00000180879,SSR4,153794668
ENSG00000101846,STS,7147712,ENSG00000130021,PUDP,7148153
ENSG00000182872,RBM10,47145221,ENSG00000147123,NDUFB11,47144702
ENSG00000147123,NDUFB11,47144702,ENSG00000182872,RBM10,47145221
ENSG00000198088,NUP62CL,107206433,ENSG00000080572,DNAAF6,107206611
ENSG00000080572,DNAAF6,107206611,ENSG00000198088,NUP62CL,107206433
ENSG00000102103,PQBP1,48897930,ENSG00000126768,TIMM17B,48897768
ENSG00000168939,SPRY3,155612586,ENSG00000185973,TMLHE,155612952
ENSG00000090889,KIF4A,70290104,ENSG00000120509,PDZD11,70289927
ENSG00000120509,PDZD11,70289927,ENSG00000090889,KIF4A,70290104
ENSG00000072315,TRPC5,112082776,ENSG00000187823,RTL4,112083016
ENSG00000187823,RTL4,112083016,ENSG00000072315,TRPC5,112082776
ENSG00000126768,TIMM17B,48897768,ENSG00000102103,PQBP1,48897930
ENSG00000130150,MOSPD2,14873421,ENSG00000181544,FANCB,14873069
ENSG00000181544,FANCB,14873069,ENSG00000130150,MOSPD2,14873421
ENSG00000269335,IKBKG,154547620,ENSG00000160211,G6PD,154546846
ENSG00000160211,G6PD,154546846,ENSG00000269335,IKBKG,154547620
ENSG00000278057,TEX28,154295124,ENSG00000007350,TKTL1,154295795
ENSG00000007350,TKTL1,154295795,ENSG00000278057,TEX28,154295124
ENSG00000102393,GLA,101407925,ENSG00000126945,HNRNPH2,101408222
ENSG00000181433,SAGE1,135893716,ENSG00000269586,CT45A10,135893444
ENSG00000198791,CNOT7,17246857,ENSG00000155975,VPS37A,17246958
ENSG00000155975,VPS37A,17246958,ENSG00000198791,CNOT7,17246857
ENSG00000147421,HMBOX1,28890395,ENSG00000104299,INTS9,28889969
ENSG00000092964,DPYSL2,26514031,ENSG00000240694,PNMA2,26513872
ENSG00000240694,PNMA2,26513872,ENSG00000092964,DPYSL2,26514031
ENSG00000221947,XKR9,70669339,ENSG00000147592,LACTB2,70669185
ENSG00000104356,POP1,98117293,ENSG00000132541,RIDA,98117171
ENSG00000165392,WRN,31033810,ENSG00000172733,PURG,31033356
ENSG00000132541,RIDA,98117171,ENSG00000104356,POP1,98117293
ENSG00000156471,PTDSS1,96261902,ENSG00000156469,MTERF3,96261610
ENSG00000172167,MTBP,120445419,ENSG00000172172,MRPL13,120445150
ENSG00000156469,MTERF3,96261610,ENSG00000156471,PTDSS1,96261902
ENSG00000172172,MRPL13,120445150,ENSG00000172167,MTBP,120445419
ENSG00000121039,RDH10,73294602,ENSG00000147604,RPL7,73293633
ENSG00000164961,WASHC5,125091792,ENSG00000156831,NSMCE2,125091860
ENSG00000147592,LACTB2,70669185,ENSG00000221947,XKR9,70669339
ENSG00000147604,RPL7,73293633,ENSG00000121039,RDH10,73294602
ENSG00000156831,NSMCE2,125091860,ENSG00000164961,WASHC5,125091792
ENSG00000185122,HSF1,144291604,ENSG00000261236,BOP1,144291438
ENSG00000182325,FBXL6,144358472,ENSG00000185803,SLC52A2,144358613
ENSG00000261236,BOP1,144291438,ENSG00000185122,HSF1,144291604
ENSG00000185803,SLC52A2,144358613,ENSG00000182325,FBXL6,144358472
ENSG00000181690,PLAG1,56211273,ENSG00000170791,CHCHD7,56211789
ENSG00000170791,CHCHD7,56211789,ENSG00000181690,PLAG1,56211273
ENSG00000180921,FAM83H,143733779,ENSG00000203499,IQANK1,143734139
ENSG00000179526,SHARPIN,144103773,ENSG00000179632,MAF1,144104461
ENSG00000179632,MAF1,144104461,ENSG00000179526,SHARPIN,144103773
ENSG00000120533,ENY2,109334347,ENSG00000120526,NUDCD1,109334087
ENSG00000120526,NUDCD1,109334087,ENSG00000120533,ENY2,109334347
ENSG00000169490,TM2D2,38996509,ENSG00000168615,ADAM9,38996973
ENSG00000147687,TATDN1,124539085,ENSG00000147684,NDUFB9,124539123
ENSG00000147684,NDUFB9,124539123,ENSG00000147687,TATDN1,124539085
ENSG00000168615,ADAM9,38996973,ENSG00000169490,TM2D2,38996509
ENSG00000203499,IQANK1,143734139,ENSG00000180921,FAM83H,143733779
ENSG00000104299,INTS9,28889969,ENSG00000147421,HMBOX1,28890395
ENSG00000179886,TIGD5,143597831,ENSG00000104529,EEF1D,143597415
ENSG00000167702,KIFC2,144466337,ENSG00000291317,TMEM276,144465492
ENSG00000160957,RECQL4,144517833,ENSG00000160959,LRRC14,144517992
ENSG00000160959,LRRC14,144517992,ENSG00000160957,RECQL4,144517833
ENSG00000172733,PURG,31033356,ENSG00000165392,WRN,31033810
ENSG00000104529,EEF1D,143597415,ENSG00000179886,TIGD5,143597831
ENSG00000104738,MCM4,47960941,ENSG00000253729,PRKDC,47960136
ENSG00000253729,PRKDC,47960136,ENSG00000104738,MCM4,47960941
ENSG00000175324,LSM1,38176493,ENSG00000156735,BAG4,38176855
ENSG00000156735,BAG4,38176855,ENSG00000175324,LSM1,38176493
ENSG00000120925,RNF170,42896605,ENSG00000168172,HOOK3,42896978
ENSG00000168172,HOOK3,42896978,ENSG00000120925,RNF170,42896605
ENSG00000291317,TMEM276,144465492,ENSG00000167702,KIFC2,144466337
ENSG00000164933,SLC25A32,103415107,ENSG00000164934,DCAF13,103415386
ENSG00000104756,KCTD9,25458433,ENSG00000184661,CDCA2,25459233
ENSG00000184661,CDCA2,25459233,ENSG00000104756,KCTD9,25458433
ENSG00000167904,TMEM68,55773378,ENSG00000137574,TGS1,55773446
ENSG00000137574,TGS1,55773446,ENSG00000167904,TMEM68,55773378
ENSG00000164934,DCAF13,103415386,ENSG00000164933,SLC25A32,103415107
ENSG00000166140,ZFYVE19,40807089,ENSG00000104129,DNAJC17,40807473
ENSG00000129028,THAP10,70892433,ENSG00000137821,LRRC49,70892826
ENSG00000103599,IQCH,67254786,ENSG00000103591,AAGAB,67254661
ENSG00000140382,HMG20A,77420888,ENSG00000173517,PEAK1,77420104
ENSG00000104129,DNAJC17,40807473,ENSG00000166140,ZFYVE19,40807089
ENSG00000181991,MRPS11,88467708,ENSG00000259494,MRPL46,88467388
ENSG00000259494,MRPL46,88467388,ENSG00000181991,MRPS11,88467708
ENSG00000134153,EMC7,34101862,ENSG00000182405,PGBD4,34102083
ENSG00000182405,PGBD4,34102083,ENSG00000134153,EMC7,34101862
ENSG00000166262,FAM227B,49620818,ENSG00000104047,DTWD1,49621048
ENSG00000104047,DTWD1,49621048,ENSG00000166262,FAM227B,49620818
ENSG00000168806,LCMT2,43330573,ENSG00000168803,ADAL,43330672
ENSG00000168803,ADAL,43330672,ENSG00000168806,LCMT2,43330573
ENSG00000242028,HYPK,43800599,ENSG00000184716,SERINC4,43800220
ENSG00000137821,LRRC49,70892826,ENSG00000129028,THAP10,70892433
ENSG00000166821,PEX11A,89690754,ENSG00000140527,WDR93,89690811
ENSG00000140527,WDR93,89690811,ENSG00000166821,PEX11A,89690754
ENSG00000225973,PIGBOS1,55319123,ENSG00000069943,PIGB,55319222
ENSG00000069943,PIGB,55319222,ENSG00000225973,PIGBOS1,55319123
ENSG00000187446,CHP1,41231268,ENSG00000178997,EXD1,41230757
ENSG00000104147,OIP5,41332591,ENSG00000137804,NUSAP1,41332881
ENSG00000137804,NUSAP1,41332881,ENSG00000104147,OIP5,41332591
ENSG00000103591,AAGAB,67254661,ENSG00000103599,IQCH,67254786
ENSG00000140471,LINS1,100602184,ENSG00000183475,ASB7,100602589
ENSG00000183475,ASB7,100602589,ENSG00000140471,LINS1,100602184
ENSG00000166192,SENP8,72118403,ENSG00000066933,MYO9A,72118150
ENSG00000178997,EXD1,41230757,ENSG00000187446,CHP1,41231268
ENSG00000140279,DUOX2,45114172,ENSG00000140274,DUOXA2,45114326
ENSG00000140274,DUOXA2,45114326,ENSG00000140279,DUOX2,45114172
ENSG00000137857,DUOX1,45129994,ENSG00000140254,DUOXA1,45129879
ENSG00000175202,HIGD2B,72686182,ENSG00000140463,BBS4,72686207
ENSG00000140463,BBS4,72686207,ENSG00000175202,HIGD2B,72686182
ENSG00000184716,SERINC4,43800220,ENSG00000242028,HYPK,43800599
ENSG00000183208,GDPGP1,90234209,ENSG00000185043,CIB1,90233941
